NAME,POS,AGE,Height,Weight,COLLEGE,SALARY
Nemanja Bjelica,PF,33,6'10'',234 lbs,--,"$1,669,178 "
Chris Chiozza,F,25,5'1'',175 lbs,Florida,--
Stephen Curry,PG,33,6'3'',185 lbs,Davidson,"$45,780,966 "
Draymond Green,PF,31,6' 6'',230 lbs,Michigan State,"$24,026,712 "
Andre Iguodala,F,37,6' 6'',215 lbs,Arizona,"$1,669,178 "
Jonathan Kuminga,PF,18,6' 7'',225 lbs,--,"$5,466,360 "
Damion Lee,SG,28,6' 5'',210 lbs,Drexel,"$1,910,860 "
Kevon Looney,C,25,6' 9'',222 lbs,UCLA,"$5,178,572 "
Moses Moody,SG,19,6' 5'',211 lbs,Arkansas,"$3,562,200 "
Mychal Mulder,SG,27,6'3'',184 lbs,Kentucky,"$1,782,621 "
Gary Payton,PG,28,6' 3'',195 lbs,Salt Lake CC UT,"$1,977,011 "
Jordan Poole,SG,22,6' 4'',194 lbs,Michigan,"$2,161,440 "
Otto Porter Jr.,SF,28,6' 8'',198 lbs,Georgetown,"$1,669,178 "
Klay Thompson,SG,31,6' 6'',215 lbs,Washington State,"$37,980,720 "
Juan Toscano-Anderson,SF,28,6' 6'',209 lbs,Marquette,"$1,701,593 "
Andrew Wiggins,SF,26,6' 7'',197 lbs,Kansas,"$31,579,390 "
James Wiseman,C,20,7' 0'',240 lbs,Memphis,"$9,166,800 "
